2020-09-07 19:52:24,808 [AUDIT] Token created by 'jfrt@01ehn0z6haxb661qtdhq5p0g2p': tokenId='dde25b02-1409-43c5-9119-43af3922df06', issuer='jfrt@01ehn0z6haxb661qtdhq5p0g2p', subject='jfrt@01ehn0z6haxb661qtdhq5p0g2p', expiry=2545588344804, refreshable=false
2020-09-07 19:52:35,400 [AUDIT] Token created by 'anonymous': tokenId='3d446acf-3be4-4e22-bcc4-6af185608217', issuer='jffe@000', subject='jffe@000', expiry=none, refreshable=false
2020-09-07 19:52:35,420 [AUDIT] Token revoked by 'anonymous': tokenId='a3c6c9b2-3eff-4f01-94e2-90cb42da3161', issuer='jffe@000', subject='jffe@000', expiry=none, refreshable=false
2020-09-07 19:52:35,509 [AUDIT] Token created by 'jffe@000': tokenId='9bec7a1b-f098-409e-91b0-84d96fe56a6b', issuer='jffe@000', subject='jffe@000', expiry=1599508955508, refreshable=false
2020-09-07 20:02:38,402 [AUDIT] Token created by 'jffe@000': tokenId='66f8f3f8-bc01-4e43-bbff-88c588a8414a', issuer='jffe@000', subject='jffe@000', expiry=1599509558400, refreshable=false
2020-09-07 20:02:38,405 [AUDIT] Token created by 'jffe@000': tokenId='be3ce590-9ed7-4a63-9782-96ab8abe9dd4', issuer='jffe@000', subject='jffe@000', expiry=1599509558400, refreshable=false
2020-09-07 20:02:38,405 [AUDIT] Token created by 'jffe@000': tokenId='413aaa89-5541-416b-9cc3-9d4aa6f7c694', issuer='jffe@000', subject='jffe@000', expiry=1599509558400, refreshable=false
2020-09-07 20:02:38,420 [AUDIT] Token created by 'jffe@000': tokenId='a79ef0c4-9b1e-4839-84d2-e407af9bb18d', issuer='jffe@000', subject='jffe@000', expiry=1599509558404, refreshable=false
2020-09-07 20:12:38,447 [AUDIT] Token created by 'jffe@000': tokenId='d5c322e0-3fbd-436a-9922-58e5286906fe', issuer='jffe@000', subject='jffe@000', expiry=1599510158446, refreshable=false
2020-09-07 20:12:38,456 [AUDIT] Token created by 'jffe@000': tokenId='a49d55f6-bd3b-4c44-967b-5dd5de39b483', issuer='jffe@000', subject='jffe@000', expiry=1599510158456, refreshable=false
2020-09-07 20:12:38,458 [AUDIT] Token created by 'jffe@000': tokenId='af841262-8643-44e9-8784-d107be09073d', issuer='jffe@000', subject='jffe@000', expiry=1599510158457, refreshable=false
2020-09-07 20:12:38,470 [AUDIT] Token created by 'jffe@000': tokenId='16b01a0b-f838-4e38-8028-cf45f3e657d5', issuer='jffe@000', subject='jffe@000', expiry=1599510158470, refreshable=false
2020-09-07 20:22:38,505 [AUDIT] Token created by 'jffe@000': tokenId='39ee84c2-81f1-4221-a115-89687ed9f787', issuer='jffe@000', subject='jffe@000', expiry=1599510758504, refreshable=false
2020-09-07 20:22:38,522 [AUDIT] Token created by 'jffe@000': tokenId='04373290-555c-4dde-85a3-198012efab9b', issuer='jffe@000', subject='jffe@000', expiry=1599510758520, refreshable=false
2020-09-07 20:22:38,534 [AUDIT] Token created by 'jffe@000': tokenId='d65157c5-d55e-4cb4-9033-abfdb20eb815', issuer='jffe@000', subject='jffe@000', expiry=1599510758533, refreshable=false
2020-09-07 20:22:38,563 [AUDIT] Token created by 'jffe@000': tokenId='822dadbd-3386-4575-8881-b3fd4694a18a', issuer='jffe@000', subject='jffe@000', expiry=1599510758562, refreshable=false
2020-09-07 20:32:45,151 [AUDIT] Token created by 'anonymous': tokenId='0b945b43-8ae8-496c-86a4-06d8ad1ba312', issuer='jfrou@01ehn0ytye0rqs87drt89segp6', subject='jfrou@01ehn0ytye0rqs87drt89segp6', expiry=none, refreshable=false
2020-09-07 20:32:58,126 [AUDIT] Token created by 'anonymous': tokenId='f9098ec5-974d-4204-8f15-6cfb3026a200', issuer='jfac@01ehn0yjyt9dfk00sdp58108q1', subject='jfac@01ehn0yjyt9dfk00sdp58108q1', expiry=1599510898119, refreshable=false
2020-09-07 20:32:58,616 [AUDIT] Token created by 'anonymous': tokenId='8984c95c-82f5-454c-8bc1-2bc7cec166b8', issuer='jfmd@01ehn0yvsn2tdvpz2sr48vvaf7', subject='jfmd@01ehn0yvsn2tdvpz2sr48vvaf7', expiry=none, refreshable=false
2020-09-07 20:32:59,112 [AUDIT] Token created by 'anonymous': tokenId='cca06670-40a6-46d1-ba0f-6fda8e8a79c8', issuer='jfrt@01ehn0z6haxb661qtdhq5p0g2p', subject='jfrt@01ehn0z6haxb661qtdhq5p0g2p', expiry=none, refreshable=false
2020-09-07 20:33:01,179 [AUDIT] Token created by 'jfrt@01ehn0z6haxb661qtdhq5p0g2p': tokenId='cd2b3172-cd90-4fed-a33c-add639fc2dc6', issuer='jfrt@01ehn0z6haxb661qtdhq5p0g2p', subject='jfrt@01ehn0z6haxb661qtdhq5p0g2p', expiry=2545590781175, refreshable=false
2020-09-07 20:33:08,029 [AUDIT] Token created by 'anonymous': tokenId='a1105d94-88b4-409a-a243-46a01f6b7e9b', issuer='jffe@000', subject='jffe@000', expiry=none, refreshable=false
2020-09-07 20:33:08,084 [AUDIT] Token created by 'jffe@000': tokenId='ab2dc526-69bf-456a-a5b6-c4565a1307cf', issuer='jffe@000', subject='jffe@000', expiry=1599511388084, refreshable=false
2020-09-07 20:35:03,896 [AUDIT] Token created by 'anonymous': tokenId='b288b617-6737-4ac1-92e8-2527877b4b8f', issuer='jfrou@01ehn0ytye0rqs87drt89segp6', subject='jfrou@01ehn0ytye0rqs87drt89segp6', expiry=none, refreshable=false
2020-09-07 20:35:07,237 [AUDIT] Token created by 'anonymous': tokenId='20f6d55f-6403-4dfd-bc45-a0bc27252db6', issuer='jfac@01ehn0yjyt9dfk00sdp58108q1', subject='jfac@01ehn0yjyt9dfk00sdp58108q1', expiry=1599511027230, refreshable=false
2020-09-07 20:35:07,376 [AUDIT] Token created by 'anonymous': tokenId='d5f60e3c-945b-4407-bda0-bcf06deeaa66', issuer='jfac@01ehn0yjyt9dfk00sdp58108q1', subject='jfac@01ehn0yjyt9dfk00sdp58108q1', expiry=1599511027372, refreshable=false
2020-09-07 20:35:07,600 [AUDIT] Token created by 'anonymous': tokenId='33ecd953-e7a0-4f0c-b1b1-6f2ad710c2d2', issuer='jfac@01ehn0yjyt9dfk00sdp58108q1', subject='jfac@01ehn0yjyt9dfk00sdp58108q1', expiry=1599511027597, refreshable=false
2020-09-07 20:35:08,033 [AUDIT] Token created by 'anonymous': tokenId='1ce0a747-52c5-469b-b735-da4da53110ca', issuer='jfac@01ehn0yjyt9dfk00sdp58108q1', subject='jfac@01ehn0yjyt9dfk00sdp58108q1', expiry=1599511028025, refreshable=false
2020-09-07 20:35:08,903 [AUDIT] Token created by 'anonymous': tokenId='f792cba1-c9db-4842-8ce6-3c6c0f5bea14', issuer='jfac@01ehn0yjyt9dfk00sdp58108q1', subject='jfac@01ehn0yjyt9dfk00sdp58108q1', expiry=1599511028884, refreshable=false
2020-09-07 20:35:09,018 [AUDIT] Token created by 'anonymous': tokenId='e333daf8-0c0b-4ff0-8a52-51c1953810af', issuer='jfmd@01ehn0yvsn2tdvpz2sr48vvaf7', subject='jfmd@01ehn0yvsn2tdvpz2sr48vvaf7', expiry=none, refreshable=false
2020-09-07 20:35:09,817 [AUDIT] Token created by 'anonymous': tokenId='d79220ac-0508-4190-86db-a6789c7d6d6d', issuer='jfrt@01ehn0z6haxb661qtdhq5p0g2p', subject='jfrt@01ehn0z6haxb661qtdhq5p0g2p', expiry=none, refreshable=false
2020-09-07 20:35:11,742 [AUDIT] Token created by 'jfrt@01ehn0z6haxb661qtdhq5p0g2p': tokenId='26e992e7-f3ef-4afd-b8b3-89cc2fe1a2f2', issuer='jfrt@01ehn0z6haxb661qtdhq5p0g2p', subject='jfrt@01ehn0z6haxb661qtdhq5p0g2p', expiry=2545590911740, refreshable=false
2020-09-07 20:35:17,603 [AUDIT] Token created by 'anonymous': tokenId='3c9c4d42-8536-4ebe-9cfc-dbe28db7d72d', issuer='jffe@000', subject='jffe@000', expiry=none, refreshable=false
2020-09-07 20:35:17,658 [AUDIT] Token created by 'jffe@000': tokenId='389cdb03-67e1-494e-9bdb-95a10ce7c626', issuer='jffe@000', subject='jffe@000', expiry=1599511517657, refreshable=false
